Repository,Date,Stars
jwkirchenbauer/lm-watermarking,Tue Jan 24 2023 10:45:56 GMT+0900 (Japan Standard Time),0
jwkirchenbauer/lm-watermarking,Wed Jan 25 2023 10:45:56 GMT+0900 (Japan Standard Time),1
jwkirchenbauer/lm-watermarking,Tue Jan 31 2023 16:25:21 GMT+0900 (Japan Standard Time),43
jwkirchenbauer/lm-watermarking,Wed Feb 22 2023 09:19:18 GMT+0900 (Japan Standard Time),85
jwkirchenbauer/lm-watermarking,Sun Mar 19 2023 17:06:27 GMT+0900 (Japan Standard Time),127
jwkirchenbauer/lm-watermarking,Sun May 21 2023 16:14:12 GMT+0900 (Japan Standard Time),169
jwkirchenbauer/lm-watermarking,Tue Jul 25 2023 15:30:48 GMT+0900 (Japan Standard Time),211
jwkirchenbauer/lm-watermarking,Thu Aug 17 2023 11:43:23 GMT+0900 (Japan Standard Time),253
jwkirchenbauer/lm-watermarking,Sun Oct 01 2023 12:42:14 GMT+0900 (Japan Standard Time),295
jwkirchenbauer/lm-watermarking,Fri Nov 10 2023 17:50:01 GMT+0900 (Japan Standard Time),337
jwkirchenbauer/lm-watermarking,Tue Jan 16 2024 03:13:24 GMT+0900 (Japan Standard Time),379
jwkirchenbauer/lm-watermarking,Fri Apr 05 2024 16:24:43 GMT+0900 (Japan Standard Time),421
jwkirchenbauer/lm-watermarking,Sun Jul 07 2024 17:45:44 GMT+0900 (Japan Standard Time),463
jwkirchenbauer/lm-watermarking,Fri Oct 18 2024 21:08:57 GMT+0900 (Japan Standard Time),505
jwkirchenbauer/lm-watermarking,Thu Feb 20 2025 19:28:26 GMT+0900 (Japan Standard Time),547
jwkirchenbauer/lm-watermarking,Fri Jun 20 2025 02:54:53 GMT+0900 (Japan Standard Time),589
jwkirchenbauer/lm-watermarking,Sat Oct 18 2025 17:50:42 GMT+0900 (Japan Standard Time),631
jwkirchenbauer/lm-watermarking,Sun Nov 09 2025 19:55:56 GMT+0900 (Japan Standard Time),640
